name,municipality,province,region
Alag,Baco,Oriental Mindoro,MIMAROPA
Bangkatan,Baco,Oriental Mindoro,MIMAROPA
Baras,Baco,Oriental Mindoro,MIMAROPA
Bayanan,Baco,Oriental Mindoro,MIMAROPA
Burbuli,Baco,Oriental Mindoro,MIMAROPA
Catwiran I,Baco,Oriental Mindoro,MIMAROPA
Catwiran II,Baco,Oriental Mindoro,MIMAROPA
Dulangan I,Baco,Oriental Mindoro,MIMAROPA
Dulangan II,Baco,Oriental Mindoro,MIMAROPA
Lantuyang,Baco,Oriental Mindoro,MIMAROPA
Lumang Bayan,Baco,Oriental Mindoro,MIMAROPA
Malapad,Baco,Oriental Mindoro,MIMAROPA
Mangangan I,Baco,Oriental Mindoro,MIMAROPA
Mangangan II,Baco,Oriental Mindoro,MIMAROPA
Mayabig,Baco,Oriental Mindoro,MIMAROPA
Pambisan,Baco,Oriental Mindoro,MIMAROPA
Poblacion,Baco,Oriental Mindoro,MIMAROPA
Pulang-Tubig,Baco,Oriental Mindoro,MIMAROPA
Putican-Cabulo,Baco,Oriental Mindoro,MIMAROPA
San Andres,Baco,Oriental Mindoro,MIMAROPA
San Ignacio,Baco,Oriental Mindoro,MIMAROPA
Santa Cruz,Baco,Oriental Mindoro,MIMAROPA
Santa Rosa I,Baco,Oriental Mindoro,MIMAROPA
Santa Rosa II,Baco,Oriental Mindoro,MIMAROPA
Tabon-tabon,Baco,Oriental Mindoro,MIMAROPA
Tagumpay,Baco,Oriental Mindoro,MIMAROPA
Water,Baco,Oriental Mindoro,MIMAROPA
Alcadesma,Bansud,Oriental Mindoro,MIMAROPA
Bato,Bansud,Oriental Mindoro,MIMAROPA
Conrazon,Bansud,Oriental Mindoro,MIMAROPA
Malo,Bansud,Oriental Mindoro,MIMAROPA
Manihala,Bansud,Oriental Mindoro,MIMAROPA
Pag-asa,Bansud,Oriental Mindoro,MIMAROPA
Poblacion,Bansud,Oriental Mindoro,MIMAROPA
Proper Bansud,Bansud,Oriental Mindoro,MIMAROPA
Proper Tiguisan,Bansud,Oriental Mindoro,MIMAROPA
Rosacara,Bansud,Oriental Mindoro,MIMAROPA
Salcedo,Bansud,Oriental Mindoro,MIMAROPA
Sumagui,Bansud,Oriental Mindoro,MIMAROPA
Villa Pag-asa,Bansud,Oriental Mindoro,MIMAROPA
Anilao,Bongabong,Oriental Mindoro,MIMAROPA
Aplaya,Bongabong,Oriental Mindoro,MIMAROPA
Bagumbayan I,Bongabong,Oriental Mindoro,MIMAROPA
Bagumbayan II,Bongabong,Oriental Mindoro,MIMAROPA
Batangan,Bongabong,Oriental Mindoro,MIMAROPA
Bukal,Bongabong,Oriental Mindoro,MIMAROPA
Camantigue,Bongabong,Oriental Mindoro,MIMAROPA
Carmundo,Bongabong,Oriental Mindoro,MIMAROPA
Cawayan,Bongabong,Oriental Mindoro,MIMAROPA
Dayhagan,Bongabong,Oriental Mindoro,MIMAROPA
Formon,Bongabong,Oriental Mindoro,MIMAROPA
Hagan,Bongabong,Oriental Mindoro,MIMAROPA
Hagupit,Bongabong,Oriental Mindoro,MIMAROPA
Ipil,Bongabong,Oriental Mindoro,MIMAROPA
Kaligtasan,Bongabong,Oriental Mindoro,MIMAROPA
Labasan,Bongabong,Oriental Mindoro,MIMAROPA
Labonan,Bongabong,Oriental Mindoro,MIMAROPA
Libertad,Bongabong,Oriental Mindoro,MIMAROPA
Lisap,Bongabong,Oriental Mindoro,MIMAROPA
Luna,Bongabong,Oriental Mindoro,MIMAROPA
Malitbog,Bongabong,Oriental Mindoro,MIMAROPA
Mapang,Bongabong,Oriental Mindoro,MIMAROPA
Masaguisi,Bongabong,Oriental Mindoro,MIMAROPA
Mina de Oro,Bongabong,Oriental Mindoro,MIMAROPA
Morente,Bongabong,Oriental Mindoro,MIMAROPA
Ogbot,Bongabong,Oriental Mindoro,MIMAROPA
Orconuma,Bongabong,Oriental Mindoro,MIMAROPA
Poblacion,Bongabong,Oriental Mindoro,MIMAROPA
Polusahi,Bongabong,Oriental Mindoro,MIMAROPA
Sagana,Bongabong,Oriental Mindoro,MIMAROPA
San Isidro,Bongabong,Oriental Mindoro,MIMAROPA
San Jose,Bongabong,Oriental Mindoro,MIMAROPA
San Juan,Bongabong,Oriental Mindoro,MIMAROPA
Santa Cruz,Bongabong,Oriental Mindoro,MIMAROPA
Sigange,Bongabong,Oriental Mindoro,MIMAROPA
Tawas,Bongabong,Oriental Mindoro,MIMAROPA
Bagong Sikat,Bulalacao,Oriental Mindoro,MIMAROPA
Balatasan,Bulalacao,Oriental Mindoro,MIMAROPA
Benli,Bulalacao,Oriental Mindoro,MIMAROPA
Cabugao,Bulalacao,Oriental Mindoro,MIMAROPA
Cambunang,Bulalacao,Oriental Mindoro,MIMAROPA
Campaasan,Bulalacao,Oriental Mindoro,MIMAROPA
Maasin,Bulalacao,Oriental Mindoro,MIMAROPA
Maujao,Bulalacao,Oriental Mindoro,MIMAROPA
Milagrosa,Bulalacao,Oriental Mindoro,MIMAROPA
Nasukob,Bulalacao,Oriental Mindoro,MIMAROPA
Poblacion,Bulalacao,Oriental Mindoro,MIMAROPA
San Francisco,Bulalacao,Oriental Mindoro,MIMAROPA
San Isidro,Bulalacao,Oriental Mindoro,MIMAROPA
San Juan,Bulalacao,Oriental Mindoro,MIMAROPA
San Roque,Bulalacao,Oriental Mindoro,MIMAROPA
Balingayan,Calapan,Oriental Mindoro,MIMAROPA
Balite,Calapan,Oriental Mindoro,MIMAROPA
Baruyan,Calapan,Oriental Mindoro,MIMAROPA
Batino,Calapan,Oriental Mindoro,MIMAROPA
Bayanan I,Calapan,Oriental Mindoro,MIMAROPA
Bayanan II,Calapan,Oriental Mindoro,MIMAROPA
Biga,Calapan,Oriental Mindoro,MIMAROPA
Bondoc,Calapan,Oriental Mindoro,MIMAROPA
Bucayao,Calapan,Oriental Mindoro,MIMAROPA
Buhuan,Calapan,Oriental Mindoro,MIMAROPA
Bulusan,Calapan,Oriental Mindoro,MIMAROPA
Calero,Calapan,Oriental Mindoro,MIMAROPA
Camansihan,Calapan,Oriental Mindoro,MIMAROPA
Camilmil,Calapan,Oriental Mindoro,MIMAROPA
Canubing I,Calapan,Oriental Mindoro,MIMAROPA
Canubing II,Calapan,Oriental Mindoro,MIMAROPA
Comunal,Calapan,Oriental Mindoro,MIMAROPA
Guinobatan,Calapan,Oriental Mindoro,MIMAROPA
Gulod,Calapan,Oriental Mindoro,MIMAROPA
Gutad,Calapan,Oriental Mindoro,MIMAROPA
Ibaba East,Calapan,Oriental Mindoro,MIMAROPA
Ibaba West,Calapan,Oriental Mindoro,MIMAROPA
Ilaya,Calapan,Oriental Mindoro,MIMAROPA
Lalud,Calapan,Oriental Mindoro,MIMAROPA
