name,municipality,province,region,code
"Alag","Baco","Oriental Mindoro","MIMAROPA","1705201001"
"Bangkatan","Baco","Oriental Mindoro","MIMAROPA","1705201002"
"Baras","Baco","Oriental Mindoro","MIMAROPA","1705201026"
"Bayanan","Baco","Oriental Mindoro","MIMAROPA","1705201027"
"Burbuli","Baco","Oriental Mindoro","MIMAROPA","1705201004"
"Catwiran I","Baco","Oriental Mindoro","MIMAROPA","1705201005"
"Catwiran II","Baco","Oriental Mindoro","MIMAROPA","1705201006"
"Dulangan I","Baco","Oriental Mindoro","MIMAROPA","1705201007"
"Dulangan II","Baco","Oriental Mindoro","MIMAROPA","1705201008"
"Lantuyang","Baco","Oriental Mindoro","MIMAROPA","1705201028"
"Lumang Bayan","Baco","Oriental Mindoro","MIMAROPA","1705201010"
"Malapad","Baco","Oriental Mindoro","MIMAROPA","1705201011"
"Mangangan I","Baco","Oriental Mindoro","MIMAROPA","1705201012"
"Mangangan II","Baco","Oriental Mindoro","MIMAROPA","1705201013"
"Mayabig","Baco","Oriental Mindoro","MIMAROPA","1705201014"
"Pambisan","Baco","Oriental Mindoro","MIMAROPA","1705201015"
"Poblacion","Baco","Oriental Mindoro","MIMAROPA","1705201029"
"Pulang-Tubig","Baco","Oriental Mindoro","MIMAROPA","1705201016"
"Putican-Cabulo","Baco","Oriental Mindoro","MIMAROPA","1705201017"
"San Andres","Baco","Oriental Mindoro","MIMAROPA","1705201018"
"San Ignacio","Baco","Oriental Mindoro","MIMAROPA","1705201019"
"Santa Cruz","Baco","Oriental Mindoro","MIMAROPA","1705201020"
"Santa Rosa I","Baco","Oriental Mindoro","MIMAROPA","1705201021"
"Santa Rosa II","Baco","Oriental Mindoro","MIMAROPA","1705201022"
"Tabon-tabon","Baco","Oriental Mindoro","MIMAROPA","1705201023"
"Tagumpay","Baco","Oriental Mindoro","MIMAROPA","1705201024"
"Water","Baco","Oriental Mindoro","MIMAROPA","1705201025"
"Alcadesma","Bansud","Oriental Mindoro","MIMAROPA","1705202001"
"Bato","Bansud","Oriental Mindoro","MIMAROPA","1705202003"
"Conrazon","Bansud","Oriental Mindoro","MIMAROPA","1705202004"
"Malo","Bansud","Oriental Mindoro","MIMAROPA","1705202005"
"Manihala","Bansud","Oriental Mindoro","MIMAROPA","1705202006"
"Pag-Asa","Bansud","Oriental Mindoro","MIMAROPA","1705202007"
"Poblacion","Bansud","Oriental Mindoro","MIMAROPA","1705202008"
"Proper Bansud","Bansud","Oriental Mindoro","MIMAROPA","1705202009"
"Proper Tiguisan","Bansud","Oriental Mindoro","MIMAROPA","1705202013"
"Rosacara","Bansud","Oriental Mindoro","MIMAROPA","1705202010"
"Salcedo","Bansud","Oriental Mindoro","MIMAROPA","1705202011"
"Sumagui","Bansud","Oriental Mindoro","MIMAROPA","1705202012"
"Villa Pag-Asa","Bansud","Oriental Mindoro","MIMAROPA","1705202014"
"Anilao","Bongabong","Oriental Mindoro","MIMAROPA","1705203001"
"Aplaya","Bongabong","Oriental Mindoro","MIMAROPA","1705203033"
"Bagumbayan I","Bongabong","Oriental Mindoro","MIMAROPA","1705203034"
"Bagumbayan II","Bongabong","Oriental Mindoro","MIMAROPA","1705203035"
"Batangan","Bongabong","Oriental Mindoro","MIMAROPA","1705203002"
"Bukal","Bongabong","Oriental Mindoro","MIMAROPA","1705203003"
"Camantigue","Bongabong","Oriental Mindoro","MIMAROPA","1705203004"
"Carmundo","Bongabong","Oriental Mindoro","MIMAROPA","1705203005"
"Cawayan","Bongabong","Oriental Mindoro","MIMAROPA","1705203006"
"Dayhagan","Bongabong","Oriental Mindoro","MIMAROPA","1705203007"
"Formon","Bongabong","Oriental Mindoro","MIMAROPA","1705203008"
"Hagan","Bongabong","Oriental Mindoro","MIMAROPA","1705203009"
"Hagupit","Bongabong","Oriental Mindoro","MIMAROPA","1705203010"
"Ipil","Bongabong","Oriental Mindoro","MIMAROPA","1705203036"
"Kaligtasan","Bongabong","Oriental Mindoro","MIMAROPA","1705203011"
"Labasan","Bongabong","Oriental Mindoro","MIMAROPA","1705203012"
"Labonan","Bongabong","Oriental Mindoro","MIMAROPA","1705203013"
"Libertad","Bongabong","Oriental Mindoro","MIMAROPA","1705203014"
"Lisap","Bongabong","Oriental Mindoro","MIMAROPA","1705203015"
"Luna","Bongabong","Oriental Mindoro","MIMAROPA","1705203016"
"Malitbog","Bongabong","Oriental Mindoro","MIMAROPA","1705203017"
"Mapang","Bongabong","Oriental Mindoro","MIMAROPA","1705203018"
"Masaguisi","Bongabong","Oriental Mindoro","MIMAROPA","1705203019"
"Mina de Oro","Bongabong","Oriental Mindoro","MIMAROPA","1705203037"
"Morente","Bongabong","Oriental Mindoro","MIMAROPA","1705203020"
"Ogbot","Bongabong","Oriental Mindoro","MIMAROPA","1705203021"
"Orconuma","Bongabong","Oriental Mindoro","MIMAROPA","1705203022"
"Poblacion","Bongabong","Oriental Mindoro","MIMAROPA","1705203032"
"Polusahi","Bongabong","Oriental Mindoro","MIMAROPA","1705203023"
"Sagana","Bongabong","Oriental Mindoro","MIMAROPA","1705203024"
